,Postal Code,Venue,Venue Latitude,Venue Longitude,Venue Category
0,M3A,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
1,M3A,Donalda Golf & Country Club,43.75281596740471,-79.34274125604858,Golf Course
2,M3A,Graydon Hall Manor,43.76392256055678,-79.34296075662587,Event Space
3,M3A,Galleria Supermarket,43.75352001200256,-79.34951815337949,Supermarket
4,M3A,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
5,M3A,LCBO,43.75777384662435,-79.31425673330513,Liquor Store
6,M3A,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
7,M3A,What a Bagel,43.754330081991476,-79.35746465464855,Bagel Shop
8,M3A,The Captain's Boil,43.75498562271514,-79.34952402878943,Seafood Restaurant
9,M3A,Me Va Me Kitchen Express,43.754957495624346,-79.3518944966201,Mediterranean Restaurant
10,M3A,Kostas Meat Market,43.7606051148729,-79.30182964378845,Greek Restaurant
11,M3A,Damas Grillhouse & Juice Bar,43.74183944758683,-79.30929636830312,Mediterranean Restaurant
12,M3A,VIA CIBO | italian streetfood,43.75406686431253,-79.35795099741557,Italian Restaurant
13,M3A,Menchie's,43.754763678410455,-79.350012511473,Frozen Yogurt Shop
14,M3A,Shawarma Empire,43.743405300438305,-79.30364913090075,Middle Eastern Restaurant
15,M3A,Naan & Kabob Halal,43.74290326259434,-79.30514824489153,Middle Eastern Restaurant
16,M3A,North Beach Indoor Volleyball Academy,43.73719098696113,-79.32371442851704,Gym / Fitness Center
17,M3A,Casa Manila,43.75527711880187,-79.3488732271488,Asian Restaurant
18,M3A,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
19,M3A,Aroma Espresso Bar,43.73439968185306,-79.3452038090861,Café
20,M3A,CF Shops at Don Mills,43.73501112909844,-79.34478724407985,Shopping Mall
21,M3A,Ghadir Mid-Eastern Grocery,43.74363845933303,-79.30423348681926,Grocery Store
22,M3A,Tasty Shawarma & Falafel,43.776126433586356,-79.31842358888973,Falafel Restaurant
23,M3A,Johnny's Hamburgers,43.774832858281265,-79.32236466843996,Burger Joint
24,M3A,Chipotle Mexican Grill,43.73521,-79.34396,Mexican Restaurant
25,M3A,LA Fitness,43.74766522888878,-79.34707696065234,Gym / Fitness Center
26,M3A,Lara's Restaurant,43.77275131307785,-79.33281161231807,Middle Eastern Restaurant
27,M3A,Longo's York Mills,43.754319360674245,-79.35729068286336,Supermarket
28,M3A,Congee Queen 皇后名粥,43.735977372912316,-79.34735561803191,Cantonese Restaurant
29,M3A,Starbucks Reserve Bar,43.735764352650975,-79.34415591212019,Coffee Shop
30,M3A,Cineplex Cinemas,43.73427877090645,-79.34616425228229,Movie Theater
31,M3A,Darband Restaurant,43.755193955394894,-79.34849758596626,Middle Eastern Restaurant
32,M3A,Fat Bastard Burrito Co,43.77414615272252,-79.3222757269027,Burrito Place
33,M3A,Arz Fine Foods,43.74389829414246,-79.30099567107857,Supermarket
34,M3A,Le Cafe Michi,43.775837053094016,-79.31761690899509,Sushi Restaurant
35,M3A,Pho Metro,43.74536458313563,-79.29446212828603,Vietnamese Restaurant
36,M3A,Spoon And Fork Plus,43.75486170132753,-79.34961613583754,Japanese Restaurant
37,M3A,Tim Hortons,43.76066827030228,-79.32636763515987,Café
38,M3A,Patna Kebab House,43.743513095785126,-79.30163584158643,Indian Restaurant
39,M3A,Jatujak,43.736207542145884,-79.30766830088342,Thai Restaurant
40,M3A,Shooters Snooker & Sports Club,43.7426369394914,-79.3130521120638,Pool Hall
41,M3A,David Duncan House,43.75825858791358,-79.3488857478876,Steakhouse
42,M3A,The Keg Steakhouse + Bar - Leslie Street,43.758797847809696,-79.36074935128283,Restaurant
43,M3A,Georgy Porgy's,43.74166840284008,-79.31462510722652,American Restaurant
44,M3A,JOEY Don mills,43.733990328997315,-79.34473422057377,New American Restaurant
45,M3A,Bier Markt,43.73367930227106,-79.34446421133993,Restaurant
46,M3A,Dollarama,43.758135,-79.310672,Discount Store
47,M3A,Paramount Fine Foods,43.73654713885171,-79.34347318005996,Middle Eastern Restaurant
48,M3A,My Place Fish & Chips,43.77418906091909,-79.32247627212145,Seafood Restaurant
49,M3A,Baskin-Robbins,43.742158294897465,-79.31414057283564,Ice Cream Shop
50,M3A,Silverspoon restaurant,43.76357556091948,-79.30183395562985,Restaurant
51,M3A,Matsuda Japanese Cuisine & Teppanyaki,43.74549366550305,-79.34582141079446,Japanese Restaurant
52,M3A,Tim Hortons,43.77156824953461,-79.32039215232635,Coffee Shop
53,M3A,Makkalchon Korean Restaurant 맛깔촌,43.74494499908732,-79.2964935606234,Korean Restaurant
54,M3A,McEwan,43.73625640025338,-79.34513152081716,Gourmet Shop
55,M3A,Gilaneh,43.75635473062591,-79.34959588004786,Persian Restaurant
56,M3A,Freshii,43.75422087020506,-79.35166465666757,Salad Place
57,M3A,RBC Royal Bank,43.73682924214923,-79.34415153312058,Bank
58,M3A,The LEGO Store,43.77820727238842,-79.34348299621146,Toy / Game Store
59,M3A,Nasib's Shawarma & Falafel,43.743512,-79.3023,Middle Eastern Restaurant
60,M3A,Family Shawarma & Falafel,43.776290927315834,-79.31675649824632,Falafel Restaurant
61,M3A,Samjung Japanese Restaurant,43.75525099504457,-79.36032313234564,Japanese Restaurant
62,M3A,Ice 'n Cake,43.734292228891334,-79.34519795645626,Ice Cream Shop
63,M3A,Lindt & Sprüngli,43.7348401,-79.3452689,Chocolate Shop
64,M3A,Pizzaiolo,43.75473459877175,-79.35010987987614,Pizza Place
65,M3A,Omni Palace Noodle House,43.771047,-79.33157,Chinese Restaurant
66,M3A,Mamajoun Armenian Pizzeria,43.76047497908607,-79.30252184834966,Pizza Place
67,M3A,Ibrahim BBQ,43.74447414666509,-79.2974995139424,Middle Eastern Restaurant
68,M3A,Paisano,43.754946,-79.34958,Italian Restaurant
69,M3A,South St. Burger,43.734274151590064,-79.34365473960722,Burger Joint
70,M3A,GoodLife Fitness North York Victoria Terrace,43.742128,-79.31459,Gym
71,M3A,Aroma Espresso Bar,43.77088,-79.331775,Coffee Shop
72,M3A,Big Smoke Burger,43.752836,-79.358998,Burger Joint
73,M3A,Lin Garden,43.775842422010605,-79.31766046261744,Hakka Restaurant
74,M3A,China Cottage,43.759097495523434,-79.3104188485618,Hakka Restaurant
75,M3A,Starbucks,43.754199,-79.351382,Coffee Shop
76,M3A,A&W,43.76627195201865,-79.30184693144743,Fast Food Restaurant
77,M3A,Popeyes Louisiana Kitchen,43.75508117675781,-79.3493881225586,Fried Chicken Joint
78,M3A,Anthropologie,43.73399577300591,-79.34556371609538,Women's Store
79,M3A,Red Lobster,43.778415,-79.311773,Seafood Restaurant
80,M3A,The Bean Sprout,43.742228835254664,-79.31357696452841,Chinese Restaurant
81,M3A,Panera Bread,43.7348289,-79.3438876,Bakery
82,M3A,Edward Village,43.77073743663521,-79.33626651763916,Hotel
83,M3A,Staples,43.7583791,-79.3106954,Paper / Office Supplies Store
84,M3A,Tim Hortons,43.75829469411578,-79.31230985443108,Coffee Shop
85,M3A,Bruno's valu-mart,43.746143,-79.32463,Grocery Store
86,M3A,De Berardini's,43.77806925637981,-79.34264197549473,Salon / Barbershop
87,M3A,Athens Pastries,43.77391055417276,-79.32228407811631,Bakery
88,M3A,天天渔港 Captain's Catch,43.774961,-79.333873,Chinese Restaurant
89,M3A,Goose & Firkin,43.75615379030734,-79.36049355792709,Pub
90,M3A,GoodLife Fitness North York Sheppard and Consumers,43.774647,-79.328698,Gym
91,M3A,Five Guys,43.75451390200428,-79.35000397292158,Burger Joint
92,M3A,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
93,M3A,Noodle Delight,43.77239870424429,-79.3202087535388,Chinese Restaurant
94,M3A,DAVIDsTEA,43.77759332519533,-79.34508888051846,Tea Room
95,M3A,Foodland - Toronto,43.773951,-79.340148,Grocery Store
96,M3A,Thai One On,43.75458309476642,-79.35154293935814,Thai Restaurant
97,M3A,"The Westin Prince, Toronto",43.75675942408352,-79.35042321681976,Hotel
98,M3A,Tim Hortons,43.74157865703848,-79.3189662694931,Coffee Shop
99,M3A,Beiruti Grand Cafe,43.773001568417364,-79.33253288902613,Middle Eastern Restaurant
100,M4A,Armenian Kitchen,43.73107096414275,-79.30539020048727,Middle Eastern Restaurant
101,M4A,Sultan Of Samosas,43.71882306937224,-79.30434985603264,Indian Restaurant
102,M4A,Aga Khan Museum,43.725105344569876,-79.33207588784165,History Museum
103,M4A,Jatujak,43.736207542145884,-79.30766830088342,Thai Restaurant
104,M4A,Damas Grillhouse & Juice Bar,43.74183944758683,-79.30929636830312,Mediterranean Restaurant
105,M4A,North Beach Indoor Volleyball Academy,43.73719098696113,-79.32371442851704,Gym / Fitness Center
106,M4A,Adonis,43.72918804328251,-79.29039141714497,Grocery Store
107,M4A,Naan & Kabob Halal,43.74290326259434,-79.30514824489153,Middle Eastern Restaurant
108,M4A,Shawarma Empire,43.743405300438305,-79.30364913090075,Middle Eastern Restaurant
109,M4A,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
110,M4A,LCBO,43.7292605867195,-79.2921438674251,Liquor Store
111,M4A,Toronto Climbing Academy,43.709362,-79.315006,Rock Climbing Spot
112,M4A,Diwan,43.72500200926036,-79.33201941694439,Middle Eastern Restaurant
113,M4A,Ghadir Mid-Eastern Grocery,43.74363845933303,-79.30423348681926,Grocery Store
114,M4A,Shirin Kebab House,43.72550281069787,-79.29813211961901,Middle Eastern Restaurant
115,M4A,Kaiseki Yu-Zen Hashimoto,43.720931369435235,-79.33718506953988,Japanese Restaurant
116,M4A,Peek Freans Cookie Outlet,43.71326033174486,-79.30806318602713,Bakery
117,M4A,Arz Fine Foods,43.74389829414246,-79.30099567107857,Supermarket
118,M4A,Pho Metro,43.74536458313563,-79.29446212828603,Vietnamese Restaurant
119,M4A,Sorento Restaurant,43.72657509457231,-79.34198930569546,Italian Restaurant
120,M4A,Aroma Espresso Bar,43.73439968185306,-79.3452038090861,Café
121,M4A,Patna Kebab House,43.743513095785126,-79.30163584158643,Indian Restaurant
122,M4A,Muddy York Brewing Co.,43.71236216662408,-79.31201930161387,Brewery
123,M4A,CF Shops at Don Mills,43.73501112909844,-79.34478724407985,Shopping Mall
124,M4A,California Sandwiches,43.72618639125825,-79.28768794317776,Sandwich Place
125,M4A,PetSmart,43.7299452,-79.2822257,Pet Store
126,M4A,Chipotle Mexican Grill,43.73521,-79.34396,Mexican Restaurant
127,M4A,The Corner Bank Sports Bar & Grill,43.73139918125402,-79.28831721167329,Sports Bar
128,M4A,Tim Hortons,43.72339929887286,-79.30264703929424,Coffee Shop
129,M4A,Cineplex Cinemas,43.73427877090645,-79.34616425228229,Movie Theater
130,M4A,Bath & Body Works,43.72757638808758,-79.29237484931946,Distribution Center
131,M4A,Georgy Porgy's,43.74166840284008,-79.31462510722652,American Restaurant
132,M4A,Bulk Barn,43.726398794850354,-79.29996389360734,Grocery Store
133,M4A,Sunny Foodmart,43.71440700906993,-79.33370230230358,Grocery Store
134,M4A,Crown Pastries,43.746098,-79.293142,Bakery
135,M4A,Ontario Science Centre,43.71640327769429,-79.33940197624067,Science Museum
136,M4A,Japanese Canadian Cultural Centre,43.726429,-79.334971,Concert Hall
137,M4A,Fitness Connection,43.72747286430573,-79.34170684305083,Gym
138,M4A,Baran's Turkish Restaurant & Bar,43.72897800106711,-79.28081055404853,Turkish Restaurant
139,M4A,Shooters Snooker & Sports Club,43.7426369394914,-79.3130521120638,Pool Hall
140,M4A,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
141,M4A,Starbucks Reserve Bar,43.735764352650975,-79.34415591212019,Coffee Shop
142,M4A,Diana's Seafood Delight,43.74574539734533,-79.29163423555568,Fish Market
143,M4A,Makkalchon Korean Restaurant 맛깔촌,43.74494499908732,-79.2964935606234,Korean Restaurant
144,M4A,Gingerman Restaurant,43.707844,-79.29558,Restaurant
145,M4A,Dollarama,43.72225,-79.289431,Discount Store
146,M4A,Congee Queen 皇后名粥,43.735977372912316,-79.34735561803191,Cantonese Restaurant
147,M4A,Winners,43.7291479,-79.2939779,Department Store
148,M4A,Nasib's Shawarma & Falafel,43.743512,-79.3023,Middle Eastern Restaurant
149,M4A,JOEY Don mills,43.733990328997315,-79.34473422057377,New American Restaurant
150,M4A,Bier Markt,43.73367930227106,-79.34446421133993,Restaurant
